rad,str,cp,char
5,5,205782,𲏖
5,5,205783,𲏗
5,5,205784,𲏘
5,5,205785,𲏙
5,5,205786,𲏚
5,5,205787,𲏛
5,6,13334,㐖
5,6,13335,㐗
5,6,13336,㐘
5,6,20081,乱
5,6,20082,乲
5,6,131305,𠃩
5,6,131306,𠃪
5,6,131308,𠃬
5,6,133597,𠧝
5,6,173842,𪜒
5,6,173843,𪜓
5,6,178277,𫡥
5,6,178278,𫡦
5,6,178279,𫡧
5,6,184099,𬼣
5,6,184100,𬼤
5,6,196669,𰀽
5,6,196670,𰀾
5,6,196671,𰀿
5,6,196672,𰁀
5,6,201604,𱎄
5,6,201605,𱎅
5,6,205788,𲏜
5,6,205789,𲏝
5,6,205790,𲏞
5,6,205791,𲏟
5,6,205792,𲏠
5,6,205793,𲏡
5,7,13337,㐙
5,7,13338,㐚
5,7,13339,㐛
5,7,20083,乳
5,7,20084,乴
5,7,20085,乵
5,7,20086,乶
5,7,20087,乷
5,7,20088,乸
5,7,131309,𠃭
5,7,131310,𠃮
5,7,131311,𠃯
5,7,173844,𪜔
5,7,178280,𫡨
5,7,184101,𬼥
5,7,184102,𬼦
5,7,184103,𬼧
5,7,196673,𰁁
5,7,196674,𰁂
5,7,196675,𰁃
5,7,201606,𱎆
5,7,205794,𲏢
5,7,205795,𲏣
5,7,205796,𲏤
5,7,205797,𲏥
5,7,205798,𲏦
5,8,13340,㐜
5,8,13341,㐝
5,8,13342,㐞
5,8,13343,㐟
5,8,13344,㐠
5,8,20089,乹
5,8,20090,乺
5,8,20091,乻
5,8,20092,乼
5,8,131256,𠂸
5,8,131314,𠃲
5,8,131315,𠃳
